,TStatistic,PValue,PValCorr,RejectionCorr,F_C
LOC100130417,0.4522364289840267,0.6534289155824005,1.0,False,1.0648711419135122
SAMD11,-1.8172660482777963,0.07955556073776543,1.0,False,1.2785169651878043
NOC2L,-1.075985160669202,0.28758102749422887,1.0,False,1.0926349062195724
KLHL17,-0.7403291626974182,0.46329162675242963,1.0,False,1.0365736330156368
PLEKHN1,-2.8032576639437665,0.007681325562296329,0.7553707970960893,False,1.2851602463352034
C1orf170,-0.7101006499301217,0.4813062924753839,1.0,False,1.0741930684008971
HES4,-0.5605966494220899,0.578829971027687,1.0,False,1.0385355455621246
ISG15,-3.9044779619735324,0.0007402400410615157,0.17979282664088092,False,2.4588670526316383
AGRN,0.37054155879177325,0.7126866051167278,1.0,False,1.0320047186154266
C1orf159,1.2848901115081097,0.20603367574125644,1.0,False,1.0710790221911604
LOC254099,1.5509439155706415,0.127898518323668,1.0,False,1.2192584268443234
TTLL10,2.845401525567872,0.006843835663012228,0.7062718127642623,False,1.323602179781127
TNFRSF18,-3.2685577192887023,0.0020938347129394633,0.3435983279200669,False,1.313259577999575
TNFRSF4,-1.7332160361361773,0.09013432205306328,1.0,False,1.1581856576869431
SDF4,0.12829153567669874,0.8985215074941828,1.0,False,1.0071168589265436
B3GALT6,-2.2379669453388713,0.031125840819582046,1.0,False,1.2160430872055006
FAM132A,4.009388349415256,0.00029459865474672795,0.0971605057209998,False,1.3298838594283098
UBE2J2,-1.2609604488035977,0.21371747299865992,1.0,False,1.0769419367138982
SCNN1D,1.1236937610263442,0.26699826708206914,1.0,False,1.0825700776641713
ACAP3,-0.390407749379845,0.6982245715417138,1.0,False,1.0230943934827614
PUSL1,-2.1766800369566464,0.03521070765408898,1.0,False,1.2150087081104215
CPSF3L,0.1778350641247647,0.8597168134375276,1.0,False,1.0114947403160233
GLTPD1,-1.6673985315483413,0.1022472983316649,1.0,False,1.1126060632175143
DVL1,-1.048637468540977,0.29985830971568656,1.0,False,1.0696742234916599
MXRA8,-0.33998628652448093,0.7354845476185679,1.0,False,1.0337019693889702
AURKAIP1,-1.0416502313950489,0.3030777082129929,1.0,False,1.0695312085069661
CCNL2,2.261242306679239,0.028740493383492268,1.0,False,1.1034901889928703
LOC148413,-2.1553758530437497,0.036881991155385936,1.0,False,1.2377574765898678
MRPL20,-3.068731702441107,0.0038435016684453967,0.5051849193380114,False,1.2107646472021247
LOC441869,1.4248794913611236,0.1614005947672258,1.0,False,1.228721600659958
VWA1,-1.4487645513409078,0.15443256413015002,1.0,False,1.1084673715489812
ATAD3C,0.8628926621825724,0.393084070004334,1.0,False,1.1512661602477055
ATAD3B,0.5679182779845375,0.5733620022270154,1.0,False,1.0346089773000522
ATAD3A,-1.1834941640059429,0.2434382770734266,1.0,False,1.0798763132017457
C1orf70,3.0654741084705353,0.00365372666113164,0.48860354413589896,False,1.2672657523024753
SSU72,-2.0555582585027055,0.0467040132512856,1.0,False,1.1324354268816113
LOC643988,-2.5668000307870247,0.013945618282041826,1.0,False,1.2502947801558488
