,TStatistic,PValue,PValCorr,RejectionCorr,F_C
LOC100130417,-3.4035218437406627,0.0015647845519234016,0.19659556874692874,False,1.8748909985684779
SAMD11,-2.8603852968231753,0.007232880379384523,0.5668051382409972,False,1.562882100433979
NOC2L,-0.7845646491589774,0.4368455409625921,1.0,False,1.0711368883208172
KLHL17,-3.204399777908099,0.0025877446702482505,0.2812259472319311,False,1.1666330755201157
PLEKHN1,-3.985716013512333,0.00026069429302884024,0.057280042356481695,False,1.47964001641273
C1orf170,-1.627105767391369,0.11073412982816662,1.0,False,1.1939250229831182
HES4,-2.0668697364049056,0.04689418546410832,1.0,False,1.1563663195310827
ISG15,-4.069063328377266,0.0004930452026510095,0.08916766947062774,False,2.6213834303368437
AGRN,-1.8612292045298866,0.06940355636678493,1.0,False,1.1668310156533688
C1orf159,-1.482580922449773,0.14527861048181823,1.0,False,1.074892352566122
LOC254099,-1.1590946784378753,0.252933077685832,1.0,False,1.1539701966128875
TTLL10,2.897392697156919,0.00581125400112857,0.49098306661387814,False,1.2794089069471852
TNFRSF18,-4.831412090636631,2.1671405693442144e-05,0.010261937195380297,True,1.4746971448830473
TNFRSF4,-1.1361068839971769,0.2632952109848181,1.0,False,1.0881988553267044
SDF4,-1.5813776829390485,0.12082623278703741,1.0,False,1.0817034372522363
B3GALT6,-0.6147791291984648,0.5418590357050588,1.0,False,1.057874279256877
FAM132A,1.6848211855913944,0.0989475382756239,1.0,False,1.091212926872028
UBE2J2,-1.5412378311068262,0.1304822708106317,1.0,False,1.1008550701108877
SCNN1D,-0.30613786615518557,0.761034028786844,1.0,False,1.0191808012040988
ACAP3,-2.4038490285805736,0.020906127119677057,1.0,False,1.1066886039414827
PUSL1,-1.3901549002167615,0.1713249294182257,1.0,False,1.1505303481560356
CPSF3L,0.4590255655779046,0.6487063229400228,1.0,False,1.0298773902036324
GLTPD1,-1.510235718591812,0.1382082561601887,1.0,False,1.1085530046124719
DVL1,-0.5500027435543213,0.5850372856814,1.0,False,1.036528067197326
MXRA8,-0.8180655907007288,0.4183307426398908,1.0,False,1.077782311886668
AURKAIP1,-1.8513180061047374,0.07091374433399082,1.0,False,1.1358325756764536
CCNL2,2.451940403725384,0.018210095997455617,1.0,False,1.1308271018643852
LOC148413,-1.764694723143542,0.08460700664296601,1.0,False,1.1965232645321466
MRPL20,-1.9130991349371362,0.06240233498514029,1.0,False,1.130032762241243
LOC441869,2.7450293365137504,0.009017211293609682,0.6470237594216709,False,1.464752290518169
VWA1,-4.056339086171416,0.00024273142416385691,0.05475046709276095,False,1.3260532795738682
ATAD3C,1.4192552731046666,0.16280577129725282,1.0,False,1.2671290962283133
ATAD3B,-1.125126173939984,0.2665796640629628,1.0,False,1.0499602969038055
ATAD3A,-1.8776374087013354,0.06806433021086718,1.0,False,1.1280898782368762
C1orf70,2.6105737361734023,0.012308208414101105,0.7907088151502947,False,1.1965562363781035
SSU72,-2.0783457532299354,0.04477317295199963,1.0,False,1.1358889825902772
LOC643988,-1.943311231941155,0.05825764636380966,1.0,False,1.2049677503603702
MIB2,0.6696757009398693,0.50666431335789,1.0,False,1.0364983734182573
CDK11B,0.23379410595275354,0.8162109367009445,1.0,False,1.0308458881538958
SLC35E2B,-2.197582081232557,0.03321789908191816,1.0,False,1.2370683976635823
CDK11A,0.6895866805409652,0.4946846353264136,1.0,False,1.1006986940452241
SLC35E2,0.486839734589837,0.6287862105932304,1.0,False,1.0953318257597386
NADK,-3.4180058308922576,0.0014951715980989445,0.19224498053930258,False,1.2683656142988453
GNB1,-3.63092134186512,0.0007297941988982297,0.11722886506965038,False,1.1469348828753554
CALML6,-0.4937928150141282,0.6239856518625547,1.0,False,1.0507197031274247
TMEM52,1.7263560673332834,0.09149019131489686,1.0,False,1.1866757925305926
GABRD,-8.459756603170925,1.5069364781157154e-09,1.6202109137212714e-05,True,2.4188777481495403
PRKCZ,-1.3761487995111357,0.17588958996029494,1.0,False,1.0787701528236342
C1orf86,-1.3810216739425325,0.17433977528328035,1.0,False,1.1057893012875766
SKI,1.1833397032511233,0.2429671272677503,1.0,False,1.10627755505359
MORN1,0.22703900015605363,0.821422492505895,1.0,False,1.018315716945144
RER1,-1.973786382592335,0.054576352527437484,1.0,False,1.1220684173841127
PEX10,-1.321789404907895,0.19293132616094238,1.0,False,1.130600246772283
PLCH2,3.3803522739205576,0.0015058952391162604,0.19257421953429316,False,1.3428785607605682
PANK4,-0.3713278944301313,0.7122368595677313,1.0,False,1.0334421124524227
HES5,-0.8866880904625426,0.3799973687862708,1.0,False,1.1282929074977028
LOC115110,-1.549168266363004,0.12899997319487264,1.0,False,1.1809206069776985
TNFRSF14,-0.8750264408063759,0.3862329539341156,1.0,False,1.040030598739498
LOC100133445,0.46157233669537356,0.6466587983488767,1.0,False,1.0483074231410476
C1orf93,-3.499663177948536,0.0011286864328021867,0.15692176414091222,False,1.3980296166114794
MMEL1,-3.1451100146343176,0.0030275528587479193,0.31501258357372225,False,1.4105957976352848
FLJ42875,0.462578296405697,0.6461861312689885,1.0,False,1.0522316397176341
PRDM16,-0.573644338543208,0.5696458961423367,1.0,False,1.0607924358783842
ARHGEF16,-4.31825458456045,9.8822299411845e-05,0.03024211817345982,False,1.317667031359979
MEGF6,-2.059804316710122,0.04647039512896278,1.0,False,1.325815576021306
TPRG1L,0.4951542602747483,0.6231898090408468,1.0,False,1.0367671847494335
WRAP73,-1.8910242280319478,0.06507296351410814,1.0,False,1.1161786943303034
TP73,-0.20912309708569202,0.8353873430484078,1.0,False,1.022057895886694
TP73-AS1,1.151049851829154,0.2560012979784671,1.0,False,1.086036468769625
LOC388588,0.7349115553370286,0.46633536035843937,1.0,False,1.0751175847387482
LRRC47,0.20518922956835778,0.8383732278577473,1.0,False,1.0222370000244025
CEP104,-5.014184174795977,1.2019701136719167e-05,0.006730836605491883,True,1.2469210188178412
