,TStatistic,PValue,PValCorr,RejectionCorr,F_C
LOC100130417,-4.608765607846056,3.1785312845453036e-05,0.36557901668463166,False,1.9965173186089802
SAMD11,-1.9292767078230748,0.06027266393304932,1.0,False,1.2224179600185467
NOC2L,0.22054187005897283,0.8264285565676908,1.0,False,1.0200702805898663
KLHL17,-2.0132011061812665,0.04987624508427357,1.0,False,1.1254705294076461
PLEKHN1,-1.4850523423884794,0.14426667298693596,1.0,False,1.1513272532605254
C1orf170,-0.9862145704300755,0.32910807600838166,1.0,False,1.1114622297465209
HES4,-2.3377892341104305,0.023712385545179418,1.0,False,1.1134585854788246
ISG15,-1.1897237888669774,0.2401484624992893,1.0,False,1.0660940076167478
AGRN,-2.1386068074847975,0.03793281880327604,1.0,False,1.204175113981107
C1orf159,-2.41275747774574,0.020001885854736057,1.0,False,1.1512946499472778
LOC254099,-2.7150695956701356,0.009642375463674469,1.0,False,1.4069878865474637
TTLL10,-0.37383404730023,0.7103045087356202,1.0,False,1.0345419455765648
TNFRSF18,-1.3840495464703866,0.17320482744649734,1.0,False,1.1229289087914989
TNFRSF4,0.8907580219448271,0.37791815514000016,1.0,False,1.0643143502841004
SDF4,-1.4433839957205343,0.1558687883097242,1.0,False,1.089401768015518
B3GALT6,1.6802492251409922,0.1002369911896769,1.0,False,1.1495156948704077
FAM132A,-2.8904409130964477,0.006454311672213382,1.0,False,1.218720770876894
UBE2J2,-0.32231962611388515,0.7486553239871663,1.0,False,1.0222046635772735
SCNN1D,-1.5339329777192214,0.13256681250190858,1.0,False,1.1033346391133536
ACAP3,-1.3872235019619645,0.17418841285565878,1.0,False,1.0817072315039813
PUSL1,0.5497645046907257,0.5853850976673344,1.0,False,1.0560422939366405
CPSF3L,0.24168472095530494,0.8100768971086594,1.0,False,1.0181737473808967
GLTPD1,0.048720823517760595,0.961352017950056,1.0,False,1.0036561703303122
DVL1,0.4747516308674996,0.6371779848928885,1.0,False,1.0319780595849737
MXRA8,-0.5015033856201988,0.6184568216605661,1.0,False,1.0426431832414464
AURKAIP1,-0.7917644741289422,0.4325011376378963,1.0,False,1.0619910542508078
CCNL2,0.5477339502902157,0.586736542021224,1.0,False,1.0247731363125798
LOC148413,0.341979641713072,0.7339163686148443,1.0,False,1.0344616885270879
MRPL20,1.1737524517284412,0.24659751518381656,1.0,False,1.0714420746534488
LOC441869,1.2351929457785673,0.22295965078712265,1.0,False,1.1920945230648154
VWA1,-2.7017015026661073,0.00978137990361679,1.0,False,1.1962943733028701
ATAD3C,0.6995032878608108,0.48781243826896614,1.0,False,1.1006395740457435
ATAD3B,-1.379965812850508,0.17589043756058292,1.0,False,1.0862983489853055
ATAD3A,-0.7985414340459298,0.42859885147200927,1.0,False,1.044647303071387
C1orf70,-0.8517651698912304,0.3989524155353815,1.0,False,1.059094185274906
SSU72,-0.038302588961897324,0.9696088796030541,1.0,False,1.0030496712012762
LOC643988,0.38923904825137096,0.6990003405102847,1.0,False,1.0376167991068
MIB2,-1.7099796529105422,0.09563016254395694,1.0,False,1.1179755577298893
CDK11B,0.7363449042858934,0.46518044880438714,1.0,False,1.1025573751514637
SLC35E2B,-1.6502251952686433,0.10560768297930029,1.0,False,1.1987699707618666
CDK11A,1.001348868791393,0.32211865898675673,1.0,False,1.1692048862619506
SLC35E2,0.8167315720055311,0.4188586613380645,1.0,False,1.1553955823978592
NADK,-0.748295544739567,0.45806503384691544,1.0,False,1.044188370002921
